"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","GRADRATETRY","TRY","PC","A","2016",36.675,
"NZL","GRADRATETRY","TRY","PC","A","2017",35.246,
"NZL","GRADRATETRY","TRY","PC","A","2018",36.211,
"NOR","GRADRATETRY","TRY","PC","A","2005",35.079,
"NOR","GRADRATETRY","TRY","PC","A","2010",,"M"
"NOR","GRADRATETRY","TRY","PC","A","2011",,"M"
"NOR","GRADRATETRY","TRY","PC","A","2012",,"M"
"NOR","GRADRATETRY","TRY","PC","A","2013",36.028,
"NOR","GRADRATETRY","TRY","PC","A","2014",38.021,
"NOR","GRADRATETRY","TRY","PC","A","2015",37.764,
"NOR","GRADRATETRY","TRY","PC","A","2016",38.174,
"NOR","GRADRATETRY","TRY","PC","A","2017",42.114,
"NOR","GRADRATETRY","TRY","PC","A","2018",43.289,
"POL","GRADRATETRY","TRY","PC","A","2005",,"M"
"POL","GRADRATETRY","TRY","PC","A","2010",,"M"
"POL","GRADRATETRY","TRY","PC","A","2011",,"M"
"POL","GRADRATETRY","TRY","PC","A","2012",,"M"
"POL","GRADRATETRY","TRY","PC","A","2013",,"M"
"POL","GRADRATETRY","TRY","PC","A","2014",,"M"
"POL","GRADRATETRY","TRY","PC","A","2015",,"M"
"POL","GRADRATETRY","TRY","PC","A","2016",,"M"
"POL","GRADRATETRY","TRY","PC","A","2017",,"M"
"POL","GRADRATETRY","TRY","PC","A","2018",,"M"
"PRT","GRADRATETRY","TRY","PC","A","2005",,"M"
"PRT","GRADRATETRY","TRY","PC","A","2010",,"M"
"PRT","GRADRATETRY","TRY","PC","A","2011",32.662,
"PRT","GRADRATETRY","TRY","PC","A","2012",34.239,
"PRT","GRADRATETRY","TRY","PC","A","2013",36.228,
"PRT","GRADRATETRY","TRY","PC","A","2014",35.911,
"PRT","GRADRATETRY","TRY","PC","A","2015",36.077,
"PRT","GRADRATETRY","TRY","PC","A","2016",36.541,
